stemming,label
"['dukung', 'sampeyan', 'bp', 'ganjarpranowo', 'amp', 'prof', 'mahfudmd', 'pasti', 'ketuamk', 'nya', 'uncle', 'anwarusman', 'mkri', 'officialmkri', 'hakim', 'mahkamahkonstitusi', 'dprd', 'dki', 'indonesiaemas', 'tniau', 'indonesiamaju', 'prabowo', 'menhan', 'tahan', 'riau', 'jokowi', 'tniad', 'malang']",positive
"['ucap', 'terima', 'kasih', 'presiden', 'pilih', 'prabowo', 'projo', 'projo', 'jokowi', 'indonesiaemas']",negative
"['bentuk', 'konfrontasi', 'politik', 'uras', 'energi', 'ganggu', 'laksana', 'programprogram', 'bangun', 'nasional', 'projo', 'jokowi', 'indonesiaemas']",positive
"['kompastv', 'indonesiaemas', 'jokowi', 'ccpchina', 'gemoy', 'samsul']",negative
"['malam', 'jalan', 'kertanegara', 'ucap', 'terimakasih', 'utk', 'budi', 'arie', 'setiadi', 'projo', 'rekan', 'juang', 'menang', 'rakyat', 'projo', 'jokowi', 'prabowogibran', 'indonesiaemas']",positive
"['partai', 'psiid', 'suntik', 'dana', 'trilyun', 'prabowosubianto', 'lonte', 'politik', 'gracenat', 'amp', 'kader', 'partai', 'mawar', 'merah', 'rame', 'jilat', 'menhan', 'prabowo', 'betapa', 'rendah', 'milu', 'pilpres', 'indonesiaemas', 'jokowi', 'gibran', 'indonesiamaju']",positive
"['selamat', 'menang', 'h', 'prabowo', 'gibran', 'gantung', 'nkri', 'prabowogibran', 'indonesiaemas', 'presidenrakyat']",positive
"['selamat', 'prabowo', 'subianto', 'mas', 'gibran', 'rakabuming', 'raka', 'presiden', 'wakil', 'presiden', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiamaju', 'indonesiaemas', 'tegaklurusbersamajokowi']",positive
"['menang', 'prabowo', 'gibran', 'menang', 'rakyat', 'indonesia', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiamaju', 'indonesiaemas', 'tegaklurusbersamajokowi', 'prabowogibranlanjutkan', 'gibranjagoanku']",positive
"['selamat', 'hprabowo', 'subianto', 'amp', 'gibran', 'rakabuming', 'raka', 'tetap', 'presiden', 'amp', 'wakil', 'presiden', 'ri', 'projo', 'jokowi', 'indonesiaemas']",positive
"['sinyal', 'satu', 'nasional', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['orang', 'kaya', 'ga', 'anak', 'orang', 'anak', 'rezeki', 'indonesiaemas']",positive
"['komite', 'ham', 'pbb', 'netralitas', 'jokowi', 'milu', 'ri', 'perintah', 'pbb', 'unesco', 'unicef', 'indonesiamaju', 'indonesiaemas', 'kementerianluarnegeri', 'politik']",neutral
"['harap', 'penuh', 'baik', 'silaturahmi', 'kelompok', 'masyarakat', 'erat', 'saudara', 'kuat', 'projo', 'jokowi', 'indonesiaemas']",positive
"['kemarin', 'dpp', 'projo', 'gelar', 'buka', 'puasa', 'acara', 'hadir', 'kerabat', 'acara', 'kemas', 'sederhana', 'penuh', 'sukacita', 'syukur', 'sempat', 'bagi', 'ramadan', 'projo', 'jokowi', 'indonesiaemas', 'budiariesetiadi']",neutral
"['projo', 'ajak', 'komponen', 'masyarakat', 'awal', 'hitung', 'resmi', 'kpu', 'apa', 'hasil', 'putus', 'rakyat', 'indonesia', 'projo', 'jokowi', 'indonesiaemas']",negative
"['projo', 'hormat', 'juang', 'politik', 'pilpres', 'kemarin', 'dukung', 'pasang', 'prabowo', 'subiantogibran', 'rakabuming', 'raka', 'prabowogibran', 'projo', 'jokowi', 'indonesiaemas']",positive
"['komisi', 'pilih', 'kpu', 'kpuri', 'rampung', 'hitung', 'suara', 'hasil', 'milu', 'projo', 'milu', 'laksana', 'transparan', 'sesuai', 'tentu', 'laku', 'projo', 'jokowi', 'indonesiaemas', 'budiariesetiadi']",negative
"['koalisi', 'gemuk', 'koalisi', 'gemoy', 'projo', 'jokowi', 'indonesiaemas']",negative
"['budi', 'arie', 'anggap', 'nyata', 'dipertanggungjawabkan', 'halusinasi', 'suara', 'persen', 'persen', 'budi', 'arie', 'temuantemuan', 'duga', 'curang', 'milu', 'langsung', 'lapor', 'bawasluri', 'projo', 'jokowi', 'indonesiaemas']",negative
"['yusril', 'ihza', 'mahendra', 'yusrilihzamhd', 'dukung', 'prabowo', 'mas', 'gibranrakabuming', 'pimpin', 'cerdas', 'visioner', 'indonesia', 'emas', 'bantenhay', 'promedia', 'yusrilihzamahendra', 'prabowosubianto', 'gibranrakabumingraka', 'indonesiaemas']",positive
"['elite', 'tim', 'kampanye', 'nasional', 'tkn', 'prabowogibran', 'hadir', 'acara', 'balut', 'buka', 'puasa', 'beri', 'santun', 'anak', 'yatim', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['dpp', 'projo', 'gelar', 'potong', 'tumpeng', 'syukur', 'menang', 'calon', 'presiden', 'wakil', 'presiden', 'prabowo', 'subianto', 'gibran', 'rakabuming', 'pancoran', 'timur', 'raya', 'jakarta', 'selatan', 'senin', 'projo', 'jokowi', 'indonesiaemas', 'bukber', 'ramadhan']",neutral
"['koalisi', 'gemuk', 'kurus', 'koalisi', 'gemoy', 'terjemahin', 'deh', 'sesuai', 'nama', 'kutip', 'koalisi', 'gemuk', 'kurus', 'koalisi', 'gemoy', 'projo', 'jokowi', 'indonesiaemas']",negative
"['jokowi', 'milu', 'indonesiaemas', 'ikn', 'jalan', 'tol', 'bandara']",negative
"['rekapitulasi', 'milu', 'provinsi', 'sah', 'kpuid', 'prabowo', 'gibran', 'atas', 'oleh', 'suara', 'projo', 'jokowi', 'indonesiaemas']",negative
"['peka', 'pimpin', 'hormat', 'azan', 'magrib', 'arah', 'hormat', 'harga', 'indonesiaemas', 'indonesiaemas', 'bijak', 'kapolri', 'pemimpinbijak', 'pemimpinindonesia', 'teladan', 'teladan', 'salingmengingatkan', 'salingsupport', 'salingmenghargai', 'adzan']",neutral
"['indonesia', 'maju', 'jokowi', 'prabowo', 'indonesiamaju', 'indonesiaemas']",positive
"['pilpres', 'milu', 'selesai', 'tinggal', 'elit', 'politik', 'budi', 'arie', 'dpp', 'projo', 'perdatam', 'pancoran', 'jakarta', 'selatan', 'jaksel', 'senin', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['dukung', 'upaya', 'perintah', 'bangun', 'ikn', 'ikn', 'nusantara', 'membangunnegeri', 'indonesiaemas', 'indonesiasejahtera', 'bangun']",positive
"['rekonsiliasi', 'nilai', 'program', 'prabowogibran', 'jalan', 'bantu', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['rekonsiliasi', 'negara', 'maju', 'satu', 'nasional', 'dukung', 'rekonsiliasi', 'nasional', 'budie', 'arie', 'temu', 'acara', 'bukber', 'kantor', 'dpp', 'projo', 'pancoran', 'jaksel', 'senin', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['dpp', 'projo', 'ada', 'bukber', 'santunin', 'anak', 'yatim', 'amp', 'syukur', 'prabowo', 'gibran', 'menang', 'projo', 'jokowi', 'indonesiaemas', 'bukber', 'ramadan']",negative
"['hardye', 'terang', 'nyata', 'jalan', 'orba', 'bangkit', 'dr', 'indonesiacemas']",positive
"['selamat', 'nyala', 'juara', 'all', 'england', 'projo', 'jokowi', 'indonesiaemas', 'allengland']",positive
"['hasil', 'prabowo', 'subianto', 'gibran', 'rakabuming', 'kuasa', 'provinsi', 'anies', 'buncit', 'ganjar', 'pranowo', 'projo', 'jokowi', 'indonesiaemas']",negative
"['vonnycornellya', 'jokowi', 'tuanku', 'raja', 'tutup', 'mata', 'rakyat', 'muak', 'indonesiacemas']",negative
"['rekapitulasi', 'final', 'kpu', 'provinsi', 'prabowo', 'gibran', 'unggul', 'tinggal', 'paslon', 'amp', 'tinggal', 'sisa', 'provinsi', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['illuminatidrpme', 'usaha', 'kaca', 'kpd', 'semdiri', 'indonesiaemas']",positive
"['ekokuntadhi', 'aja', 'jan', 'etes', 'jadiin', 'tokoh', 'nasional', 'indonesiacemas']",neutral
"['tiktok', 'alibaba', 'ccpchina', 'belimbing', 'gemoy', 'indonesia', 'indonesiaemas', 'milu']",positive
"['tinggal', 'elite', 'politik', 'harap', 'moga', 'elite', 'politik', 'rukun', 'proses', 'konsolidasi', 'jalan', 'budi', 'wartawan', 'jakarta', 'kamis', 'projo', 'jokowi', 'indonesiaemas']",positive
"['selamat', 'pg', 'tuan', 'presiden', 'jokowi', 'skdr', 'contoh', 'dr', 'sbgian', 'daerah', 'indonesia', 'emas', 'indonesiacemas']",positive
"['beda', 'dapat', 'politik', 'wajar', 'lapis', 'masyarakat', 'jaga', 'rukun', 'pasca', 'milu', 'rawat', 'kebhinekaan', 'pemiluindonesiadamai', 'damaiindonesia', 'tiktokban', 'ramadan', 'pemiludamai', 'indonesiaemas']",positive
"['arsipaja', 'kelen', 'gagal', 'sejahtera', 'ternak', 'tani', 'kalo', 'jadi', 'gin', 'kelen', 'ngomongin', 'sedekah', 'coba', 'henti', 'proyek', 'mercusuar', 'ikn', 'sedekah', 'tani', 'ternak', 'subhanallah', 'indonesiaemas']",positive
"['prabowo', 'gibran', 'optimisme', 'indonesia', 'emas', 'webinar', 'ekonomi', 'projo', 'muda', 'jakarta', 'jumat', 'maret', 'wib', 'zoom', 'id', 'pass', 'projo', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiaemas']",positive
"['presiden', 'gubernur', 'aktif', 'bupati', 'jalan', 'kerja', 'nya', 'anggota', 'dewan', 'lokasi', 'wilayah', 'ko', 'jalan', 'negara', 'negara', 'indonesia', 'maju', 'indonesiamaju', 'indonesiaemas', 'prabowogibran', 'mentripupr']",neutral
"['samsul', 'gemoy', 'indonesiaemas', 'milu']",positive
"['budi', 'arie', 'apresiasi', 'hitung', 'kawalpemilu', 'prabowogibran', 'menang', 'putar', 'budi', 'arie', 'ajak', 'satu', 'milu', 'projo', 'jokowi', 'indonesiaemas']",positive
"['projo', 'respon', 'hak', 'angket', 'selisih', 'juta', 'suara', 'projo', 'jokowi', 'indonesiaemas']",negative
"['ramadan', 'selamat', 'buka', 'puasa', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['tanggap', 'projo', 'hak', 'angket', 'projo', 'jokowi', 'indonesiaemas']",negative
"['hak', 'angket', 'gimana', 'selisih', 'oleh', 'suara', 'jutahak', 'angket', 'coba', 'dipikirin', 'curang', 'juta', 'loh', 'selisih', 'rb', 'selisih', 'juta', 'hebat', 'curang', 'juta', 'ya', 'hak', 'angket', 'projo', 'jokowi', 'indonesiaemas']",negative
"['teliti', 'temu', 'indikasi', 'curang', 'pascapencoblosan', 'pilpres', 'struktur', 'amp', 'sistematis', 'untung', 'salah', 'paslon', 'tulis', 'kawalpemiluorg', 'projo', 'jokowi', 'indonesiaemas']",negative
"['prabowo', 'gibran', 'menang', 'telak', 'dasar', 'hasil', 'rekapitulasi', 'suara', 'milu', 'negeri', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'dppprojo', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiamaju', 'indonesiaemas', 'tegaklurusbersamajokowi', 'gibranjagoanku']",negative
"['menteri', 'kominfo', 'budi', 'arie', 'setiadi', 'hadir', 'acara', 'baznas', 'istana', 'merdeka', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['menang', 'presiden', 'pajak', 'tau', 'data', 'maret', 'lucu', 'aja', 'klo', 'berstetmen', 'data', 'wkwkwkwk', 'pajaknaik', 'parobowo', 'dirjenpajak', 'indonesiaemas', 'milu']",negative
"['ramadan', 'projo', 'jokowi', 'indonesiaemas']",negative
"['indonesia', 'emas', 'lpdp', 'brin', 'kolaborasi', 'beasiswa', 'bidang', 'nuklir', 'ayobacanews', 'news', 'newsupdate', 'beasiswa', 'indonesiaemas']",neutral
"['tanmarm', 'yg', 'jg', 'indonesiacemas']",positive
"['teddgus', 'ganjarpranowo', 'mohmahfudmd', 'perintah', 'jokowi', 'menang', 'telak', 'dlm', 'dukung', 'pilpres', 'pilih', 'rakyat', 'paslon', 'ri', 'presiden', 'prabowo', 'gibrantweet', 'indonesiaemas', 'prabowogibran', 'baik']",positive
"['teddgus', 'ganjarpranowo', 'mohmahfudmd', 'prabowo', 'gibrantweet', 'perintah', 'jokowi', 'menang', 'telak', 'dlm', 'dukung', 'pilpres', 'pilih', 'rakyat', 'paslon', 'ri', 'presiden', 'prabowo', 'gibrantweet', 'indonesiaemas', 'prabowogibran', 'baik']",positive
"['stefanantonio', 'jokowi', 'perintah', 'jokowi', 'menang', 'telak', 'dlm', 'dukung', 'pilpres', 'pilih', 'rakyat', 'paslon', 'ri', 'presiden', 'prabowo', 'gibrantweet', 'indonesiaemas', 'prabowogibran', 'baik']",positive
"['bangsaygsujud', 'prabowo', 'gibrantweet', 'indonesia', 'baik', 'perintah', 'jokowi', 'menang', 'telak', 'dlm', 'dukung', 'pilpres', 'pilih', 'rakyat', 'paslon', 'ri', 'presiden', 'prabowo', 'gibrantweet', 'indonesiaemas', 'prabowogibran', 'baik']",positive
"['hmjusufrizal', 'kpuid', 'bawasluri', 'jokowi', 'prabowo', 'ganjarpranowo', 'mohmahfudmd', 'aniesbaswedan', 'cakiminow', 'puanmaharaniri', 'airlanggahrt', 'zulhasan', 'katabewe', 'sbyudhoyono', 'yg', 'perintah', 'jokowi', 'menang', 'telak', 'dlm', 'dukung', 'pilpres', 'pilih', 'rakyat', 'paslon', 'ri', 'presiden', 'prabowo', 'gibrantweet', 'indonesiaemas', 'prabowogibran', 'baik']",positive
"['anaklolina', 'kesini', 'perintah', 'jokowi', 'menang', 'telak', 'dlm', 'dukung', 'pilpres', 'pilih', 'rakyat', 'paslon', 'ri', 'presiden', 'prabowo', 'gibrantweet', 'indonesiaemas', 'prabowogibran', 'baik']",positive
"['partaisocmed', 'perintah', 'jokowi', 'menang', 'telak', 'dlm', 'dukung', 'pilpres', 'pilih', 'rakyat', 'paslon', 'ri', 'presiden', 'prabowo', 'gibrantweet', 'indonesiaemas', 'prabowogibran', 'baik']",positive
"['selamat', 'tugas', 'selamat', 'jalan', 'amanat', 'rakyat', 'mas', 'wali', 'gibrantweet', 'dunia', 'indonesia', 'maju', 'nik', 'toko', 'kulo', 'monggo', 'difollow', 'kpi', 'klinikposterindonesia', 'indonesiaemas', 'indonesia', 'indonesiaemas', 'indonesiamaju']",neutral
"['kapolri', 'mari', 'sambut', 'ramadan', 'penuh', 'suka', 'cita', 'kaporli', 'ramadan', 'sukacita', 'indonesiaemas']",positive
"['tum', 'projo', 'budi', 'arie', 'buka', 'buka', 'momen', 'cakap', 'jokowi', 'deklarasi', 'istana', 'batu', 'tulis', 'projo', 'jokowi', 'indonesiaemas']",negative
"['jokowi', 'maestro', 'politik', 'indonesia', 'budi', 'arie', 'setiadi', 'projo', 'jokowi', 'indonesiaemas']",negative
"['uu', 'cipta', 'kerja', 'baik', 'iklim', 'sehat', 'investasi', 'ciptakerja', 'investment', 'oscars', 'indonesiaemas']",positive
"['selamat', 'tunai', 'ibadah', 'puasa', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['engak', 'tau', 'milu', 'indonesiaemas', 'belimbing', 'gemoy']",neutral
"['tum', 'projo', 'budi', 'arie', 'setiadi', 'sang', 'cenayang', 'politik', 'pilpres', 'projo', 'jokowi', 'indonesiaemas']",negative
"['indonesiaemas', 'belimbing', 'gemoy', 'milu']",positive
"['tempodotco', 'indonesiaemas', 'belimbing', 'gemoy']",positive
"['serunipuspaalam', 'kecewa', 'yg', 'manusiawi', 'kalah', 'telak', 'curang', 'amp', 'khianat', 'tambah', 'bonus', 'intimidasi', 'kontestasi', 'indonesiacemas']",negative
"['selamat', 'tunai', 'ibadah', 'puasa', 'ramadan', 'ramadan', 'ramadan', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['setia', 'garis', 'rakyat', 'projo', 'jokowi', 'indonesiaemas']",negative
"['pilpres', 'masa', 'jokowi', 'amp', 'prabowo', 'satu', 'projo', 'jokowi', 'indonesiaemas']",negative
"['cursedkidd', 'ervinad', 'saing', 'dgn', 'gudono', 'indonesiaemas']",positive
"['selamat', 'nyepi', 'projo', 'jokowi', 'indonesiaemas']",positive
"['hasil', 'prediksi', 'budi', 'arie', 'tum', 'pro', 'jokowi', 'menang', 'prabowo', 'gibran', 'projo', 'jokowi', 'indonesiaemas']",negative
"['projo', 'arah', 'jokowi', 'dukung', 'prabowo', 'nanyanya', 'salah', 'budi', 'arie', 'setiadi', 'tum', 'projo', 'projo', 'jokowi', 'indonesiaemas']",negative
"['prabowo', 'gibran', 'unggul', 'mana', 'suara', 'ya', 'yaa', 'nyala', 'abang', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiamaju', 'indonesiaemas', 'tegaklurusbersamajokowi', 'gibranjagoanku']",positive
"['greenflation', 'mas', 'gibran', 'rakabuming', 'raka', 'indonesia', 'hasil', 'raja', 'energi', 'hijau', 'dunia', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiamaju', 'indonesiaemas', 'tegaklurusbersamajokowi', 'gibranjagoanku']",positive
"['keluarga', 'projo', 'penjuru', 'awal', 'ketat', 'pimpin', 'presiden', 'joko', 'widodo', 'periode', 'oktober', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiamaju', 'indonesiaemas', 'gibranjagoanku']",positive
"['selamat', 'perempuan', 'internasional', 'womansday', 'projo', 'jokowi', 'indonesiaemas']",negative
"['gapapa', 'indonesiaemas', 'tangan', 'klen']",negative
"['padu', 'suara', 'maranatha', 'skip', 'ambon', 'bantu', 'harap', 'dukung', 'kembang', 'seni', 'musik', 'lingkung', 'gereja', 'gerindra', 'aksinyata', 'prabowosubianto', 'prabowogibran', 'indonesiamaju', 'indonesiaemas']",positive
"['yakin', 'pro', 'jokowi', 'laksana', 'sesuai', 'analisa', 'tum', 'projo', 'budi', 'arie', 'setiadi', 'projo', 'jokowi', 'indonesiaemas']",negative
"['ikn', 'lanjut', 'simbol', 'perata', 'bangun', 'transformasi', 'bangun', 'indonesia', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiamaju', 'indonesiaemas', 'tegaklurusbersamajokowi', 'gibranjagoanku']",positive
"['calon', 'wakil', 'presiden', 'pilih', 'mas', 'gibran', 'rakabuming', 'raka', 'agenda', 'indonesia', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiamaju', 'indonesiaemas', 'tegaklurusbersamajokowi', 'gibranjagoanku']",positive
"['gibran', 'rakabuming', 'raka', 'pimpin', 'muda', 'indonesia', 'bawa', 'indonesia', 'income', 'middle', 'trap', 'projo', 'muda', 'muda', 'abdi', 'dunia', 'projo', 'projomuda', 'setiadigarisrakyat', 'mudamengabdimendunia', 'indonesiamaju', 'indonesiaemas', 'tegaklurusbersamajokowi', 'gibranjagoanku']",positive
"['indiavrindavan', 'kenal', 'dgn', 'absurd', 'bangsa', 'indonesia', 'absurd', 'x', 'lipat', 'vrindavan', 'indonesiaemas']",neutral
